Cuenta Bancaria,Proveedor,Fecha de Transacción,Fecha Contable,Número de Transacción,Periodo,Tipo,Estatus,Monto,Zona Geografica
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,27300979,ABR-26,Debit,Posted,7879.34,007
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,18000932,ABR-26,Debit,Posted,7879.65,005
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,15300330,ABR-26,Debit,Posted,7881.71,003
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,52000250,ABR-26,Debit,Posted,7883.24,008
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,11300674,ABR-26,Debit,Posted,7883.53,001
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,40100809,ABR-26,Debit,Posted,7886.32,012
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,27000468,ABR-26,Debit,Posted,7889.37,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,41900880,ABR-26,Debit,Posted,7890.69,013
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,15900607,ABR-26,Debit,Posted,7891.26,003
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,20500251,ABR-26,Debit,Posted,7892.68,003
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,27600820,ABR-26,Debit,Posted,7895.13,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,26700093,ABR-26,Debit,Posted,7898.11,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,29700067,ABR-26,Debit,Posted,7899.15,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,52000768,ABR-26,Debit,Posted,7900.52,008
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,52100186,ABR-26,Debit,Posted,7901.5,008
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,60600107,ABR-26,Debit,Posted,7903.14,011
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,59100812,ABR-26,Debit,Posted,7903.77,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,32000910,ABR-26,Debit,Posted,7903.98,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,27100794,ABR-26,Debit,Posted,7905.97,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,15300467,ABR-26,Debit,Posted,7909.62,003
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,69000144,ABR-26,Debit,Posted,7910.12,008
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,27500126,ABR-26,Debit,Posted,7910.93,007
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,69900035,ABR-26,Debit,Posted,7913.69,014
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,18900034,ABR-26,Debit,Posted,7914.09,001
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,67500042,ABR-26,Debit,Posted,7917.79,010
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,31300139,ABR-26,Debit,Posted,7923.28,009
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,66000009,ABR-26,Debit,Posted,7927.67,010
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,67100070,ABR-26,Debit,Posted,7928.85,010
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,14100449,ABR-26,Debit,Posted,7929.0,001
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,50300285,ABR-26,Debit,Posted,7929.71,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,50300280,ABR-26,Debit,Posted,7930.74,006
