Número de Extracto,Fecha Contable,Estado,Referencia,Fecha Efectiva,Descripción,Tipo,Monto,Banco,Cuenta Bancaria,Cuenta Contable,Sub-cuenta,Código de Transacción,Divisa
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D14200216,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,12467.34,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D14200628,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,15906.89,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D14500930,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,12662.23,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D15300259,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,19671.68,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D15300762,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,34972.9,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,M156009,2026-03-10,LIQ MONEDERO PATRIA-LIQ MONEDERO PATRIA,CREDIT,8648.08,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0003677,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D15800321,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,5200.21,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D15800918,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,21628.72,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D15800406,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,21094.35,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D16100979,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,4403.9,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,C16100151,2026-03-10,LIQUIDACION T CREDITO VS MC BD-LIQUIDACION T CREDITO VS MC BD,CREDIT,4520.98,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017430,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D16400129,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,32331.87,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D16400113,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,46707.76,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D16500056,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,43896.79,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D18700901,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,7369.08,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D18900764,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,25586.41,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D18900765,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,131229.12,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D18900764,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,1522.17,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D18900765,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,143823.45,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D18900009,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,15204.89,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D18900728,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,30137.3,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D19100247,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,3479.53,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D19200225,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,23488.33,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D19200334,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,12567.55,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D19400041,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,9421.65,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D19400042,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,66991.32,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D19400794,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,3930.13,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D19400053,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,27026.51,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D19400720,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,1547.96,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D19900149,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,17633.3,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D19900893,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,15982.55,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D19900502,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,22237.65,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D20400813,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,61493.91,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D20500189,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,18233.37,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D20500537,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,20278.37,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D21000317,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,5573.73,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D21000421,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,5382.26,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
